wavelenght,0J,100J
658,0.00052,0.02202
657,0.00071,0.02017
656,0.00139,0.01921
655,0.00128,0.0175
654,0.00122,0.01694
653,0.00137,0.01537
652,0.00175,0.0143
651,0.00163,0.01411
650,0.00202,0.0137
649,0.00197,0.01329
648,0.00235,0.01285
647,0.00249,0.01182
646,0.00296,0.0117
645,0.00302,0.01131
644,0.00371,0.01101
643,0.00386,0.01066
642,0.00565,0.01062
641,0.00658,0.01059
640,0.00789,0.0104
639,0.00936,0.01
638,0.01198,0.01065
637,0.01502,0.01138
636,0.01854,0.01166
635,0.02303,0.01257
634,0.02813,0.01382
633,0.03308,0.01533
632,0.03752,0.01635
631,0.04102,0.01817
630,0.04275,0.01927
629,0.04278,0.02025
628,0.03998,0.02005
627,0.03711,0.02013
626,0.0335,0.01982
625,0.02975,0.01949
624,0.02659,0.01852
623,0.02375,0.01782
622,0.0217,0.01742
621,0.01957,0.01641
620,0.01736,0.01579
619,0.01589,0.01534
618,0.01428,0.01501
617,0.01299,0.01453
616,0.01189,0.01401
615,0.01078,0.01379
614,0.00995,0.01362
613,0.00924,0.01313
612,0.00903,0.01341
611,0.00901,0.01345
610,0.00913,0.01344
609,0.00903,0.01301
608,0.00988,0.01313
607,0.01093,0.01374
606,0.01106,0.01327
605,0.01158,0.01347
604,0.01235,0.01359
603,0.01276,0.01386
602,0.01273,0.01363
601,0.01312,0.01362
600,0.01317,0.01379
599,0.01335,0.01366
598,0.01336,0.0138
597,0.01416,0.01397
596,0.01512,0.01439
595,0.01568,0.01493
594,0.01768,0.01545
593,0.01944,0.01639
592,0.0222,0.01779
591,0.02439,0.01852
590,0.02759,0.01963
589,0.03057,0.02101
588,0.03338,0.02248
587,0.03662,0.024
586,0.03997,0.02534
585,0.04269,0.02706
584,0.04545,0.02884
583,0.04777,0.0303
582,0.0499,0.03162
581,0.05216,0.0331
580,0.05373,0.03424
579,0.05523,0.03492
578,0.05758,0.03615
577,0.05952,0.03767
576,0.06167,0.03846
575,0.06234,0.03918
574,0.06204,0.04015
573,0.05986,0.04038
572,0.05583,0.0399
571,0.0509,0.03864
570,0.04594,0.03756
569,0.04101,0.03616
568,0.0368,0.03452
567,0.03326,0.03268
566,0.03016,0.03128
565,0.02748,0.02986
564,0.02534,0.02862
563,0.02345,0.02776
562,0.0221,0.02698
561,0.02131,0.02634
560,0.02071,0.02568
559,0.02079,0.02536
558,0.02089,0.02501
557,0.0215,0.02474
556,0.0229,0.02455
555,0.02498,0.02539
554,0.02777,0.02581
553,0.0314,0.02661
552,0.03545,0.02729
551,0.04074,0.02948
550,0.04658,0.03071
549,0.05342,0.03261
548,0.06134,0.03499
547,0.0701,0.03817
546,0.0779,0.04064
545,0.08613,0.04338
544,0.09202,0.04583
543,0.09666,0.04822
542,0.09931,0.04952
541,0.10015,0.04978
540,0.09997,0.05019
539,0.09881,0.05018
538,0.09533,0.04883
537,0.09126,0.04758
536,0.08635,0.04629
535,0.08091,0.04383
534,0.07503,0.04177
533,0.06927,0.03937
532,0.0639,0.03746
531,0.05827,0.03484
530,0.05346,0.03351
529,0.04912,0.0315
528,0.04567,0.03041
527,0.04288,0.02887
526,0.04174,0.02809
525,0.04053,0.02755
524,0.04117,0.02735
523,0.04318,0.02761
522,0.04588,0.02886
521,0.04967,0.02987
520,0.05473,0.03144
519,0.06094,0.03387
518,0.06744,0.03628
517,0.07539,0.0393
516,0.08301,0.04241
515,0.09034,0.04544
514,0.09707,0.0482
513,0.10318,0.05116
512,0.10932,0.05385
511,0.11483,0.05631
510,0.11881,0.05788
509,0.12227,0.06004
508,0.12477,0.06179
507,0.12614,0.0627
506,0.12705,0.06309
505,0.12795,0.06367
504,0.12626,0.06393
503,0.12362,0.06289
502,0.11956,0.06185
501,0.11476,0.06044
500,0.10935,0.05793
499,0.10434,0.05631
498,0.09937,0.05395
497,0.09386,0.0515
496,0.08798,0.04893
495,0.08296,0.04672
494,0.07857,0.04498
493,0.07415,0.04282
492,0.06947,0.04038
491,0.06535,0.03908
490,0.06194,0.03701
489,0.05845,0.03533
488,0.05505,0.03342
487,0.05239,0.03217
486,0.05004,0.03094
485,0.04756,0.02953
484,0.04551,0.02866
483,0.04383,0.02781
482,0.04251,0.02676
481,0.04151,0.02629
480,0.041,0.02637
479,0.04024,0.02566
478,0.03933,0.02554
477,0.03836,0.02509
476,0.03802,0.02563
475,0.03751,0.02531
474,0.03653,0.02552
473,0.0356,0.02537
472,0.03551,0.02635
471,0.03447,0.02587
470,0.03398,0.02652
469,0.03363,0.02705
468,0.03381,0.02803
467,0.03397,0.02937
466,0.03337,0.03008
465,0.03366,0.03135
464,0.03412,0.03307
463,0.03445,0.03448
462,0.03494,0.03679
461,0.03592,0.03926
460,0.03718,0.04221
459,0.03769,0.04488
458,0.03907,0.04836
457,0.04045,0.05157
456,0.0423,0.05506
455,0.04361,0.05883
454,0.04557,0.06311
453,0.04808,0.06721
452,0.05068,0.07142
451,0.05326,0.07626
450,0.05685,0.08123
449,0.06069,0.08614
448,0.06424,0.09062
447,0.06908,0.09647
446,0.07483,0.10199
445,0.08072,0.10666
444,0.08699,0.1116
443,0.09424,0.11766
442,0.10379,0.12385
441,0.11271,0.12931
440,0.12275,0.13592
439,0.13476,0.14298
438,0.14877,0.15014
437,0.16266,0.15781
436,0.17909,0.16657
435,0.19784,0.17587
434,0.21834,0.18597
433,0.24096,0.19653
432,0.26747,0.20873
431,0.29691,0.22216
430,0.32882,0.23489
429,0.36431,0.24878
428,0.4014,0.26504
427,0.44561,0.28291
426,0.48956,0.30115
425,0.5405,0.32189
424,0.59513,0.34432
423,0.6527,0.36861
422,0.70993,0.39076
421,0.77246,0.41716
420,0.83699,0.4402
419,0.90487,0.46928
418,0.97181,0.4957
417,1.0397,0.52195
416,1.10437,0.54898
415,1.1682,0.57752
414,1.22486,0.60295
413,1.27573,0.62677
412,1.32,0.64833
411,1.35705,0.669
410,1.38427,0.68653
409,1.40343,0.70144
408,1.41267,0.71281
407,1.41311,0.72059
406,1.40564,0.72558
405,1.39155,0.72672
404,1.3712,0.72518
403,1.34541,0.72038
402,1.31574,0.71312
401,1.28409,0.70459
400,1.25036,0.69472
399,1.2143,0.68192
398,1.18103,0.6698
397,1.14742,0.65728
396,1.11501,0.64413
395,1.08374,0.63068
394,1.05477,0.61809
393,1.02659,0.60534
392,0.99981,0.59154
391,0.97217,0.57829
390,0.94681,0.56547
389,0.92338,0.55352
388,0.89839,0.54042
387,0.87457,0.52826
386,0.8498,0.51492
385,0.82493,0.50238
384,0.79909,0.48875
383,0.77256,0.47494
382,0.74588,0.46151
381,0.72035,0.44942
380,0.69358,0.43454
379,0.66746,0.42155
378,0.64213,0.40793
377,0.61565,0.39309
376,0.59033,0.37981
375,0.56697,0.36741
374,0.54389,0.35477
373,0.52066,0.34155
372,0.49952,0.32897
371,0.4785,0.31816
370,0.45844,0.30581
369,0.43893,0.29455
368,0.42019,0.28392
367,0.40357,0.27291
366,0.38664,0.26307
365,0.37203,0.25366
364,0.35848,0.24464
363,0.34572,0.23641
362,0.33175,0.22843
361,0.32183,0.22037
360,0.31036,0.21335
359,0.29958,0.20649
358,0.28746,0.19933
357,0.27877,0.19368
356,0.2691,0.18812
355,0.25914,0.18313
354,0.24914,0.17566
353,0.24278,0.17192
352,0.2339,0.16782
351,0.22513,0.16445
350,0.21809,0.15895
